"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Total 60+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","102.0",""
"Afghanistan","Total 60+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","102.4",""
"Afghanistan","Total 60+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","102.9",""
"Afghanistan","Total 60+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","103.6",""
"Afghanistan","Total 60+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","104.2",""
"Afghanistan","Total 65+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","105.1",""
"Afghanistan","Total 65+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","105.8",""
"Afghanistan","Total 65+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","106.5",""
"Afghanistan","Total 65+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","107.0",""
"Afghanistan","Total 65+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","107.4",""
"Afghanistan","Total 80+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","121.4",""
"Afghanistan","Total 80+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","121.9",""
"Afghanistan","Total 80+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","121.3",""
"Afghanistan","Total 80+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","120.2",""
"Afghanistan","Total 80+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","118.8",""
"Albania","Total 60+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","108.4",""
"Albania","Total 60+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","110.9",""
"Albania","Total 60+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","115.6",""
"Albania","Total 60+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","123.6",""
