Code,Indicator Name,Long definition,Source
SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)","Crude death rate indicates the number of deaths occurring during the year, per 1,000 population estimated at midyear. Subtracting the crude death rate from the crude birth rate provides the rate of natural increase, which is equal to the rate of population change in the absence of migration.","(1) United Nations Population Division. World Population Prospects: 2017 Revision. (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme."
SG.DMK.HLTH.HB.ZS,Decision maker about a woman's own health care: mainly husband (% of women age 15-49),Decision maker about women own health care: mainly husband is Percentage of currently married women aged 15-49 for whom the decision maker for their own health care is mainly the husband,Demographic and Health Surveys (DHS)
SG.DMK.HLTH.WF.ZS,Decision maker about a woman's own health care: mainly wife  (% of women age 15-49),Decision maker about women own health care: mainly wife  is Percentage of currently married women aged 15-49 for whom the decision maker for their own health care is mainly the respondent,Demographic and Health Surveys (DHS)
SG.DMK.HLTH.OT.ZS,Decision maker about a woman's own health care: other (% of women age 15-49),Decision maker about women own health care: other is Percentage of currently married women aged 15-49 for whom the decision maker for their own health care is recorded as 'other',Demographic and Health Surveys (DHS)
SG.DMK.HLTH.SE.ZS,Decision maker about a woman's own health care: someone else (% of women age 15-49),Decision maker about women own health care: someone else is Percentage of currently married women aged 15-49 for whom the decision maker for their own health care is mainly someone else,Demographic and Health Surveys (DHS)
SG.DMK.HLTH.WH.ZS,Decision maker about a woman's own health care: wife and husband jointly (% of women age 15-49),Decision maker about women own health care: wife and husband jointly is Percentage of currently married women aged 15-49 for whom the decision maker for their own health care is mainly the respondent and her husband,Demographic and Health Surveys (DHS)
SG.DMK.VISI.HB.ZS,Decision maker about a woman's visits to her family or relatives: mainly husband (% of women age 15-49),Decision maker about a woman's visits to her family or relatives: mainly husband is Percentage of currently married women aged 15-49 for whom the decision maker for visits to her family or relatives is mainly the husband,Demographic and Health Surveys (DHS)
SG.DMK.VISI.WF.ZS,Decision maker about a woman's visits to her family or relatives: mainly wife (% of women age 15-49),Decision maker about a woman's visits to her family or relatives: mainly wife is Percentage of currently married women aged 15-49 for whom the decision maker for visits to her family or relatives is mainly the respondent,Demographic and Health Surveys (DHS)
SG.DMK.VISI.OT.ZS,Decision maker about a woman's visits to her family or relatives: other (% of women age 15-49),Decision maker about a woman's visits to her family or relatives: other is Percentage of currently married women aged 15-49 for whom the decision maker for visits to her family or relatives is recorded as 'other',Demographic and Health Surveys (DHS)
SG.DMK.VISI.SE.ZS,Decision maker about a woman's visits to her family or relatives: someone else (% of women age 15-49),Decision maker about a woman's visits to her family or relatives: someone else is Percentage of currently married women aged 15-49 for whom the decision maker for visits to her family or relatives is mainly someone else,Demographic and Health Surveys (DHS)
SG.DMK.PRCH.HB.ZS,Decision maker about major household purchases: mainly husband (% of women age 15-49),Decision maker about ajor household purchases: mainly husband is Percentage of currently married women aged 15-49 for whom the decision maker for major household purchases is mainly the husband,Demographic and Health Surveys (DHS)
SG.DMK.PRCH.WF.ZS,Decision maker about major household purchases: mainly wife (% of women age 15-49),Decision maker about major household purchases: mainly wife is Percentage of currently married women aged 15-49 for whom the decision maker for major household purchases is mainly the respondent,Demographic and Health Surveys (DHS)
SG.DMK.PRCH.OT.ZS,Decision maker about major household purchases: other (% of women age 15-49),Decision maker about major household purchases: other is Percentage of currently married women aged 15-49 for whom the decision maker for major household purchases is recorded as 'other',Demographic and Health Surveys (DHS)
SG.DMK.PRCH.SE.ZS,Decision maker about major household purchases: someone else (% of women age 15-49),Decision maker about Major household purchases: someone else is Percentage of currently married women aged 15-49 for whom the decision maker for major household purchases is mainly someone else,Demographic and Health Surveys (DHS)
SG.DMK.PRCH.WH.ZS,Decision maker about major household purchases: wife and husband jointly (% of women age 15-49),Decision maker about major household purchases: wife and husband jointly is Percentage of currently married women aged 15-49 for whom the decision maker for major household purchases is mainly the respondent and her husband,Demographic and Health Surveys (DHS)
SG.DMK.VISI.WH.ZS,Decision maker about Visits to her family or relatives: wife and husband jointly (% of women age 15-49),Decision maker about Visits to her family or relatives: wife and husband jointly is Percentage of currently married women aged 15-49 for whom the decision maker for visits to her family or relatives is mainly the respondent and her husband,Demographic and Health Surveys (DHS)
SH.FPL.SATI.ZS,Demand for family planning satisfied by any methods (% of married women with demand for family planning),Demand for family planning satisfied by any methods refers to the percentage of married women ages 15-49 whose need for family planning is satisfied.,Demographic and Health Surveys.
SH.FPL.SATM.ZS,Demand for family planning satisfied by modern methods (% of married women with demand for family planning),Demand for family planning satisfied by modern methods refers to the percentage of married women ages 15-49 years whose need for family planning is satisfied with modern methods.,Demographic and Health Surveys (DHS).
SE.TER.CUAT.BA.FE.ZS,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",The percentage of population ages 25 and over that attained or completed Bachelor's or equivalent.,UNESCO Institute for Statistics (http://uis.unesco.org/)
SE.TER.CUAT.BA.MA.ZS,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",The percentage of population ages 25 and over that attained or completed Bachelor's or equivalent.,UNESCO Institute for Statistics (http://uis.unesco.org/)
SE.SEC.CUAT.LO.FE.ZS,"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",The percentage of population ages 25 and over that attained or completed lower secondary education.,UNESCO Institute for Statistics (http://uis.unesco.org/)
SE.SEC.CUAT.LO.MA.ZS,"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)",The percentage of population ages 25 and over that attained or completed lower secondary education.,UNESCO Institute for Statistics (http://uis.unesco.org/)
SE.SEC.CUAT.PO.FE.ZS,"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",The percentage of population ages 25 and over that attained or completed post-secondary non-tertiary education.,UNESCO Institute for Statistics (http://uis.unesco.org/)
SE.SEC.CUAT.PO.MA.ZS,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",The percentage of population ages 25 and over that attained or completed post-secondary non-tertiary education.,UNESCO Institute for Statistics (http://uis.unesco.org/)
SE.PRM.CUAT.FE.ZS,"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",The percentage of population ages 25 and over that attained or completed primary education.,UNESCO Institute for Statistics (http://uis.unesco.org/)
SE.PRM.CUAT.MA.ZS,"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",The percentage of population ages 25 and over that attained or completed primary education.,UNESCO Institute for Statistics (http://uis.unesco.org/)
SE.TER.CUAT.ST.FE.ZS,"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)",The percentage of population ages 25 and over that attained or completed short-cycle tertiary education.,UNESCO Institute for Statistics (http://uis.unesco.org/)
SE.TER.CUAT.ST.MA.ZS,"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)",The percentage of population ages 25 and over that attained or completed short-cycle tertiary education.,UNESCO Institute for Statistics (http://uis.unesco.org/)
SE.SEC.CUAT.UP.FE.ZS,"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)",The percentage of population ages 25 and over that attained or completed upper secondary education.,UNESCO Institute for Statistics (http://uis.unesco.org/)
SE.SEC.CUAT.UP.MA.ZS,"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)",The percentage of population ages 25 and over that attained or completed upper secondary education.,UNESCO Institute for Statistics (http://uis.unesco.org/)
SE.TER.CUAT.MS.FE.ZS,"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)",The percentage of population ages 25 and over that attained or completed Master's or equivalent.,UNESCO Institute for Statistics (http://uis.unesco.org/)
SE.TER.CUAT.MS.MA.ZS,"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)",The percentage of population ages 25 and over that attained or completed Master's or equivalent.,UNESCO Institute for Statistics (http://uis.unesco.org/)
SE.TER.CUAT.DO.FE.ZS,"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)",The percentage of population ages 25 and over that attained or completed Doctoral or equivalent.,UNESCO Institute for Statistics (http://uis.unesco.org/)
SE.TER.CUAT.DO.MA.ZS,"Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)",The percentage of population ages 25 and over that attained or completed Doctoral or equivalent.,UNESCO Institute for Statistics (http://uis.unesco.org/)
SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)","Employers are those workers who, working on their own account or with one or a few partners, hold the type of jobs defined as a "self-employment jobs" i.e. jobs where the remuneration is directly dependent upon the profits derived from the goods and services produced), and, in this capacity, have engaged, on a continuous basis, one or more persons to work for them as employee(s).","International Labour Organization, ILOSTAT database. Data retrieved in April 2019."
