"LOCATION","Country","INDICATOR","Indicator","SEX","Sex","AGE","Age","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2003","2003","PC","Percentage","0","Units",,,52,,
"AUT","Austria","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2004","2004","PC","Percentage","0","Units",,,50,,
"AUT","Austria","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,50,,
"AUT","Austria","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2006","2006","PC","Percentage","0","Units",,,47,,
"AUT","Austria","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2007","2007","PC","Percentage","0","Units",,,48,,
"AUT","Austria","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2008","2008","PC","Percentage","0","Units",,,49,,
"AUT","Austria","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2009","2009","PC","Percentage","0","Units",,,47,,
"AUT","Austria","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,45,,
"AUT","Austria","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2011","2011","PC","Percentage","0","Units",,,44,,
"AUT","Austria","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,45,,
"AUT","Austria","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,46,,
"AUT","Austria","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,49,,
"AUT","Austria","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,52,,
"AUT","Austria","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2016","2016","PC","Percentage","0","Units",,,54,,
"BEL","Belgium","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2003","2003","PC","Percentage","0","Units",,,43,,
"BEL","Belgium","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2004","2004","PC","Percentage","0","Units",,,45,,
"BEL","Belgium","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,47,,
"BEL","Belgium","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2006","2006","PC","Percentage","0","Units",,,45,,
"BEL","Belgium","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2007","2007","PC","Percentage","0","Units",,,42,,
"BEL","Belgium","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2008","2008","PC","Percentage","0","Units",,,36,,
"BEL","Belgium","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2009","2009","PC","Percentage","0","Units",,,32,,
"BEL","Belgium","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,30,,
