Series Name,Series Code,Country Name,Country Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Afghanistan,AFG,27.3,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Albania,ALB,16.4,16.4,15.7,15.7,17.9,20,20.7,22.9,27.9,27.9
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Algeria,DZA,7.7,7.7,8,31.6,31.6,31.6,31.6,31.6,25.8,25.8
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Andorra,AND,35.7,35.7,50,50,50,50,39.3,32.1,32.1,32.1
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Angola,AGO,38.6,38.6,38.2,34.1,34.1,36.8,36.8,36.8,38.2,30.5
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Antigua and Barbuda,ATG,10.5,10.5,10.5,10.5,10.5,11.1,11.1,11.1,11.1,11.1
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Arab World,ARB,9.91258880994672,11.9239257179875,11.3352657004831,14.8720183486239,17.49244456611,17.7939697133586,18.779151193634,18.8526498495719,18.8210344031402,19.0179788213628
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Argentina,ARG,38.5,38.5,37.4,37.4,..,36.6,..,35.8,38.9,38.9
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Armenia,ARM,9.2,9.2,8.4,10.7,10.7,10.7,10.7,10.7,18.1,18.1
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Australia,AUS,27.3,24.7,24.7,24.7,26,26,26.7,28.7,28.7,28.7
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Austria,AUT,27.9,27.9,27.9,27.9,33.3,32.2,30.6,30.6,30.6,34.4
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Azerbaijan,AZE,11.4,16,16,16,16,15.6,16.9,16.8,16.8,16.8
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,"Bahamas, The",BHS,12.2,12.2,12.2,13.2,13.2,13.2,13.2,13.2,12.8,12.8
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Bahrain,BHR,2.5,2.5,10,10,10,7.5,7.5,7.5,7.5,7.5
