Semester;Code;Studiengang;männlich;weiblich;Insgesamt
WS 2010/11;SF141;Abfallwirtschaft;14;6;20
WS 2010/11;SF002;Afrikanistik;44;88;132
WS 2010/11;SF138;Agrarbiologie;40;62;102
WS 2010/11;SF125;Agrarökonomie;163;141;304
WS 2010/11;SF003;Agrarwissenschaft/Landwirtschaft;1478;1272;2750
WS 2010/11;SF001;Ägyptologie;12;52;64
WS 2010/11;SF152;Allg. Sprachwissenschaft/Indogermanistik;223;841;1064
WS 2010/11;SF188;Allgemeine Literaturwissenschaft;116;457;573
WS 2010/11;SF272;Alte Geschichte;13;18;31
WS 2010/11;SF006;Amerikanistik/Amerikakunde;121;369;490
WS 2010/11;SF007;Angewandte Kunst;236;393;629
WS 2010/11;SF284;Angewandte Sprachwissenschaft;167;881;1048
WS 2010/11;SF140;Angewandte Systemwissenschaften;256;109;365
WS 2010/11;SF008;Anglistik/Englisch;1733;5717;7450
WS 2010/11;SF009;Anthropologie (Humanbiologie);21;86;107
WS 2010/11;SF010;Arabisch/Arabistik;33;71;104
WS 2010/11;SF011;Arbeitslehre/Wirtschaftslehre;106;192;298
WS 2010/11;SF257;Arbeits- und Berufsberatung;3;32;35
WS 2010/11;SF258;Arbeitsverwaltung;61;152;213
WS 2010/11;SF012;Archäologie;249;388;637
WS 2010/11;SF390;Archäometrie (Ingenieurarchäologie);2;1;3
WS 2010/11;SF013;Architektur;2471;3466;5937
WS 2010/11;SF255;Archivwesen;23;39;62
WS 2010/11;SF187;Asiatische Sprachen u.Kulturen/Asienwissenschaften;91;203;294
WS 2010/11;SF014;Astronomie, Astrophysik;23;15;38
WS 2010/11;SF143;Augenoptik;50;140;190
WS 2010/11;SF117;Ausländerpädagogik;9;22;31
WS 2010/11;SF015;Außereurop. Sprachen und Kult. in Ozeanien und Am.;9;30;39
WS 2010/11;SF259;Auswärtige Angelegenheiten;16;19;35
WS 2010/11;SF016;Baltistik;2;6;8
WS 2010/11;SF265;Bankwesen;39;30;69
WS 2010/11;SF017;Bauingenieurwesen/Ingenieurbau;6757;2544;9301
WS 2010/11;SF020;Bergbau/Bergtechnik;256;57;313
WS 2010/11;SF018;Berufsbezogene Fremdsprachenausbildung;123;404;527
WS 2010/11;SF270;Berufs- und Wirtschaftspädagogik;106;89;195
WS 2010/11;SF021;Betriebswirtschaftslehre;16864;17912;34776
WS 2010/11;SF262;Bibliothekswesen;1;8;9
WS 2010/11;SF022;Bibliothekswiss., -wesen (nicht an Verw.-FH);103;433;536
WS 2010/11;SF023;Bildende Kunst/Grafik;246;278;524
WS 2010/11;SF205;Bildhauerei/Plastik;33;45;78
WS 2010/11;SF025;Biochemie;591;723;1314
WS 2010/11;SF283;Biogeographie (ab 2012 ohne SF385);108;190;298
WS 2010/11;SF221;Bioinformatik;247;137;384
WS 2010/11;SF026;Biologie;2556;5292;7848
WS 2010/11;SF300;Biomedizin;80;99;179
WS 2010/11;SF282;Biotechnologie;866;1092;1958
WS 2010/11;SF027;Blinden-/Sehbehindertenpädagogik(ab 2016 zu SF190);-;2;2
WS 2010/11;SF028;Brauwesen/Getränketechnologie;135;22;157
WS 2010/11;SF260;Bundeswehrverwaltung;29;58;87
WS 2010/11;SF031;Byzantinistik;-;3;3
WS 2010/11;SF162;Caritaswissenschaft;-;-;-
WS 2010/11;SF032;Chemie;3583;2681;6264
WS 2010/11;SF033;Chemie-Ingenieurwesen/Chemietechnik;1013;570;1583
WS 2010/11;SF160;Computerlinguistik;73;77;150
WS 2010/11;SF200;Computer- und Kommunikationstechniken;383;162;545
WS 2010/11;SF034;Dänisch;3;17;20
WS 2010/11;SF035;Darstellende Kunst/Bühnenkunst/Regie;85;172;257
WS 2010/11;SF271;Deutsch als Fremdsprache oder als Zweitsprache;82;370;452
WS 2010/11;SF161;Diakoniewissenschaft;14;15;29
WS 2010/11;SF192;Dirigieren;19;8;27
WS 2010/11;SF037;Dokumentationswissenschaft;21;39;60
WS 2010/11;SF231;Druck- und Reproduktionstechnik;379;220;599
WS 2010/11;SF159;Edelstein- und Schmuckdesign;2;21;23
WS 2010/11;SF316;Elektronische Energietechnik;321;38;359
WS 2010/11;SF048;Elektrotechnik/Elektronik;10127;1051;11178
WS 2010/11;SF211;Energietechnik (ohne Elektrotechnik);1270;233;1503
WS 2010/11;SF320;Ernährungswissenschaft;41;359;400
WS 2010/11;SF321;Erwachsenenbildung und außerschulische Jugendbild.;24;93;117
WS 2010/11;SF051;Erziehungsschwierigenpädagogik (ab 2016 zu SF190);1;5;6
WS 2010/11;SF052;Erziehungswissenschaft (Pädagogik);1432;6400;7832
WS 2010/11;SF169;Ethik;20;39;59
WS 2010/11;SF173;Ethnologie;122;530;652
WS 2010/11;SF024;Europäische Ethnologie und Kulturwissenschaft;101;434;535
WS 2010/11;SF167;Europäische Wirtschaft;239;367;606
WS 2010/11;SF544;Ev. Religionspädagogik, kirchliche Bildungsarbeit;34;93;127
WS 2010/11;SF053;Evangelische Theologie, - Religionslehre;430;758;1188
WS 2010/11;SF464;Facility Management;231;198;429
WS 2010/11;SF235;Fahrzeugtechnik;2053;110;2163
WS 2010/11;SF212;Feinwerktechnik;183;19;202
WS 2010/11;SF202;Fertigungs-/Produktionstechnik;1082;157;1239
WS 2010/11;SF054;Film und Fernsehen;182;149;331
