GENESIS-Tabelle: 21111-0014
Absolventen/Abgänger: Bundesländer, Schuljahr, Geschlecht,;;;;;
Schulabschlüsse;;;;;
Statistik der allgemeinbildenden Schulen;;;;;
Absolventen/Abgänger (Anzahl);;;;;
;;;Geschlecht;Geschlecht;Geschlecht
;;;männlich;weiblich;Insgesamt
2009/10;Baden-Württemberg;Ohne Hauptschulabschluss;3798;2447;6245
2009/10;Baden-Württemberg;Hauptschulabschluss;18043;13956;31999
2009/10;Baden-Württemberg;Mittlerer Schulabschluss;25136;25014;50150
2009/10;Baden-Württemberg;Fachhochschulreife;164;149;313
2009/10;Baden-Württemberg;Allgemeine Hochschulreife;15258;18751;34009
2009/10;Bayern;Ohne Hauptschulabschluss;4700;2879;7579
2009/10;Bayern;Hauptschulabschluss;20583;14924;35507
2009/10;Bayern;Mittlerer Schulabschluss;28749;31148;59897
2009/10;Bayern;Fachhochschulreife;15;21;36
2009/10;Bayern;Allgemeine Hochschulreife;16243;19476;35719
2009/10;Berlin;Ohne Hauptschulabschluss;1611;1119;2730
2009/10;Berlin;Hauptschulabschluss;3837;3052;6889
2009/10;Berlin;Mittlerer Schulabschluss;4807;4283;9090
2009/10;Berlin;Fachhochschulreife;-;-;-
2009/10;Berlin;Allgemeine Hochschulreife;5586;6786;12372
2009/10;Brandenburg;Ohne Hauptschulabschluss;1039;590;1629
2009/10;Brandenburg;Hauptschulabschluss;1734;1167;2901
2009/10;Brandenburg;Mittlerer Schulabschluss;3070;3066;6136
2009/10;Brandenburg;Fachhochschulreife;28;16;44
2009/10;Brandenburg;Allgemeine Hochschulreife;3972;5352;9324
2009/10;Bremen;Ohne Hauptschulabschluss;229;141;370
2009/10;Bremen;Hauptschulabschluss;943;790;1733
2009/10;Bremen;Mittlerer Schulabschluss;1402;1386;2788
2009/10;Bremen;Fachhochschulreife;51;63;114
2009/10;Bremen;Allgemeine Hochschulreife;1219;1462;2681
2009/10;Hamburg;Ohne Hauptschulabschluss;708;516;1224
2009/10;Hamburg;Hauptschulabschluss;1532;1166;2698
2009/10;Hamburg;Mittlerer Schulabschluss;2077;1916;3993
2009/10;Hamburg;Fachhochschulreife;255;287;542
2009/10;Hamburg;Allgemeine Hochschulreife;5501;6675;12176
2009/10;Hessen;Ohne Hauptschulabschluss;2356;1507;3863
2009/10;Hessen;Hauptschulabschluss;8384;6087;14471
2009/10;Hessen;Mittlerer Schulabschluss;14425;13971;28396
2009/10;Hessen;Fachhochschulreife;583;680;1263
2009/10;Hessen;Allgemeine Hochschulreife;8833;11232;20065
2009/10;Mecklenburg-Vorpommern;Ohne Hauptschulabschluss;878;556;1434
2009/10;Mecklenburg-Vorpommern;Hauptschulabschluss;898;599;1497
