GENESIS-Tabelle: 21311-0012
Studienanfänger: Deutschland, Semester, Nationalität,;;;;;;;;;;;
Geschlecht, Studienfach;;;;;;;;;;;
Statistik der Studenten;;;;;;;;;;;
Deutschland;;;;;;;;;;;
Studienanfänger (Anzahl);;;;;;;;;;;
;;;Deutsche;Deutsche;Deutsche;Ausländer;Ausländer;Ausländer;Insgesamt;Insgesamt;Insgesamt
;;;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt
WS 2010/11;SF141;Abfallwirtschaft;13;4;17;1;2;3;14;6;20
WS 2010/11;SF002;Afrikanistik;25;70;95;19;18;37;44;88;132
WS 2010/11;SF138;Agrarbiologie;33;53;86;7;9;16;40;62;102
WS 2010/11;SF125;Agrarökonomie;125;115;240;38;26;64;163;141;304
WS 2010/11;SF003;Agrarwissenschaft/Landwirtschaft;1257;1097;2354;221;175;396;1478;1272;2750
WS 2010/11;SF001;Ägyptologie;10;48;58;2;4;6;12;52;64
WS 2010/11;SF152;Allg. Sprachwissenschaft/Indogermanistik;157;626;783;66;215;281;223;841;1064
WS 2010/11;SF188;Allgemeine Literaturwissenschaft;67;282;349;49;175;224;116;457;573
WS 2010/11;SF272;Alte Geschichte;12;16;28;1;2;3;13;18;31
WS 2010/11;SF006;Amerikanistik/Amerikakunde;84;281;365;37;88;125;121;369;490
WS 2010/11;SF007;Angewandte Kunst;170;313;483;66;80;146;236;393;629
WS 2010/11;SF284;Angewandte Sprachwissenschaft;85;582;667;82;299;381;167;881;1048
WS 2010/11;SF140;Angewandte Systemwissenschaften;199;81;280;57;28;85;256;109;365
WS 2010/11;SF008;Anglistik/Englisch;1540;5015;6555;193;702;895;1733;5717;7450
WS 2010/11;SF009;Anthropologie (Humanbiologie);11;68;79;10;18;28;21;86;107
WS 2010/11;SF010;Arabisch/Arabistik;29;65;94;4;6;10;33;71;104
WS 2010/11;SF011;Arbeitslehre/Wirtschaftslehre;99;183;282;7;9;16;106;192;298
WS 2010/11;SF257;Arbeits- und Berufsberatung;3;31;34;-;1;1;3;32;35
WS 2010/11;SF258;Arbeitsverwaltung;60;143;203;1;9;10;61;152;213
WS 2010/11;SF012;Archäologie;222;339;561;27;49;76;249;388;637
WS 2010/11;SF390;Archäometrie (Ingenieurarchäologie);1;1;2;1;-;1;2;1;3
WS 2010/11;SF013;Architektur;1749;2506;4255;722;960;1682;2471;3466;5937
WS 2010/11;SF255;Archivwesen;22;38;60;1;1;2;23;39;62
WS 2010/11;SF187;Asiatische Sprachen u.Kulturen/Asienwissenschaften;78;167;245;13;36;49;91;203;294
WS 2010/11;SF014;Astronomie, Astrophysik;-;-;-;23;15;38;23;15;38
WS 2010/11;SF143;Augenoptik;44;135;179;6;5;11;50;140;190
WS 2010/11;SF117;Ausländerpädagogik;1;5;6;8;17;25;9;22;31
WS 2010/11;SF015;Außereurop. Sprachen und Kult. in Ozeanien und Am.;3;7;10;6;23;29;9;30;39
WS 2010/11;SF259;Auswärtige Angelegenheiten;16;19;35;-;-;-;16;19;35
WS 2010/11;SF016;Baltistik;2;2;4;-;4;4;2;6;8
WS 2010/11;SF265;Bankwesen;39;30;69;-;-;-;39;30;69
WS 2010/11;SF017;Bauingenieurwesen/Ingenieurbau;5657;2072;7729;1100;472;1572;6757;2544;9301
WS 2010/11;SF020;Bergbau/Bergtechnik;167;18;185;89;39;128;256;57;313
WS 2010/11;SF018;Berufsbezogene Fremdsprachenausbildung;98;314;412;25;90;115;123;404;527
WS 2010/11;SF270;Berufs- und Wirtschaftspädagogik;89;76;165;17;13;30;106;89;195
WS 2010/11;SF021;Betriebswirtschaftslehre;14857;15256;30113;2007;2656;4663;16864;17912;34776
WS 2010/11;SF262;Bibliothekswesen;1;8;9;-;-;-;1;8;9
WS 2010/11;SF022;Bibliothekswiss., -wesen (nicht an Verw.-FH);96;402;498;7;31;38;103;433;536
WS 2010/11;SF023;Bildende Kunst/Grafik;167;170;337;79;108;187;246;278;524
WS 2010/11;SF205;Bildhauerei/Plastik;18;25;43;15;20;35;33;45;78
WS 2010/11;SF025;Biochemie;520;648;1168;71;75;146;591;723;1314
WS 2010/11;SF283;Biogeographie (ab 2012 ohne SF385);93;172;265;15;18;33;108;190;298
WS 2010/11;SF221;Bioinformatik;218;102;320;29;35;64;247;137;384
WS 2010/11;SF026;Biologie;2171;4690;6861;385;602;987;2556;5292;7848
WS 2010/11;SF300;Biomedizin;57;63;120;23;36;59;80;99;179
WS 2010/11;SF282;Biotechnologie;775;999;1774;91;93;184;866;1092;1958
WS 2010/11;SF027;Blinden-/Sehbehindertenpädagogik(ab 2016 zu SF190);-;2;2;-;-;-;-;2;2
WS 2010/11;SF028;Brauwesen/Getränketechnologie;125;13;138;10;9;19;135;22;157
WS 2010/11;SF260;Bundeswehrverwaltung;29;58;87;-;-;-;29;58;87
WS 2010/11;SF031;Byzantinistik;-;-;-;-;3;3;-;3;3
WS 2010/11;SF162;Caritaswissenschaft;-;-;-;-;-;-;-;-;-
WS 2010/11;SF032;Chemie;3110;2251;5361;473;430;903;3583;2681;6264
