"COUNTRY","Country ","SEX","Sex","FIELD","Field","ISC11_LEVEL_CAT","Level of education","INDICATOR","Indicator","YEAR","Year ","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","F","Women","T","Total: All fields of education","L5","Short-cycle tertiary education (ISCED2011 level 5)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,,"M","Missing value; data cannot exist"
"AUS","Australia","M","Men","T","Total: All fields of education","L5","Short-cycle tertiary education (ISCED2011 level 5)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,,"M","Missing value; data cannot exist"
"AUS","Australia","F","Women","T","Total: All fields of education","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,56.142,,
"AUS","Australia","M","Men","T","Total: All fields of education","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,43.858,,
"AUS","Australia","F","Women","T","Total: All fields of education","L7","Master’s or equivalent level (ISCED2011 level 7)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,52.967,,
"AUS","Australia","M","Men","T","Total: All fields of education","L7","Master’s or equivalent level (ISCED2011 level 7)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,47.033,,
"AUS","Australia","F","Women","T","Total: All fields of education","L7_T_SC6","Master’s or equivalent level  long first degrees (ISCED2011 level 7)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,,"z","Not applicable"
"AUS","Australia","M","Men","T","Total: All fields of education","L7_T_SC6","Master’s or equivalent level  long first degrees (ISCED2011 level 7)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,,"z","Not applicable"
"AUS","Australia","F","Women","T","Total: All fields of education","L8","Doctoral or equivalent level  (ISCED2011 level 8)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,49.204,,
"AUS","Australia","M","Men","T","Total: All fields of education","L8","Doctoral or equivalent level  (ISCED2011 level 8)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,50.796,,
"AUS","Australia","F","Women","T","Total: All fields of education","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,,"M","Missing value; data cannot exist"
"AUS","Australia","M","Men","T","Total: All fields of education","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,,"M","Missing value; data cannot exist"
"AUS","Australia","F","Women","F06","Information and Communication Technologies","L5","Short-cycle tertiary education (ISCED2011 level 5)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,,"M","Missing value; data cannot exist"
"AUS","Australia","M","Men","F06","Information and Communication Technologies","L5","Short-cycle tertiary education (ISCED2011 level 5)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,,"M","Missing value; data cannot exist"
"AUS","Australia","F","Women","F06","Information and Communication Technologies","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,15.013,,
"AUS","Australia","M","Men","F06","Information and Communication Technologies","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,84.987,,
"AUS","Australia","F","Women","F06","Information and Communication Technologies","L7","Master’s or equivalent level (ISCED2011 level 7)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,25.824,,
"AUS","Australia","M","Men","F06","Information and Communication Technologies","L7","Master’s or equivalent level (ISCED2011 level 7)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,74.176,,
"AUS","Australia","F","Women","F06","Information and Communication Technologies","L7_T_SC6","Master’s or equivalent level  long first degrees (ISCED2011 level 7)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,,"z","Not applicable"
"AUS","Australia","M","Men","F06","Information and Communication Technologies","L7_T_SC6","Master’s or equivalent level  long first degrees (ISCED2011 level 7)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,,"z","Not applicable"
"AUS","Australia","F","Women","F06","Information and Communication Technologies","L8","Doctoral or equivalent level  (ISCED2011 level 8)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,26.25,,
"AUS","Australia","M","Men","F06","Information and Communication Technologies","L8","Doctoral or equivalent level  (ISCED2011 level 8)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,73.75,,
"AUS","Australia","F","Women","F06","Information and Communication Technologies","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,,"M","Missing value; data cannot exist"
"AUS","Australia","M","Men","F06","Information and Communication Technologies","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,,"M","Missing value; data cannot exist"
"AUS","Australia","F","Women","F05T07","Science, technology, engineering and mathematics","L5","Short-cycle tertiary education (ISCED2011 level 5)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,,"M","Missing value; data cannot exist"
"AUS","Australia","M","Men","F05T07","Science, technology, engineering and mathematics","L5","Short-cycle tertiary education (ISCED2011 level 5)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,,"M","Missing value; data cannot exist"
"AUS","Australia","F","Women","F05T07","Science, technology, engineering and mathematics","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,31.447,,
"AUS","Australia","M","Men","F05T07","Science, technology, engineering and mathematics","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,68.553,,
"AUS","Australia","F","Women","F05T07","Science, technology, engineering and mathematics","L7","Master’s or equivalent level (ISCED2011 level 7)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,30.236,,
"AUS","Australia","M","Men","F05T07","Science, technology, engineering and mathematics","L7","Master’s or equivalent level (ISCED2011 level 7)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,69.764,,
"AUS","Australia","F","Women","F05T07","Science, technology, engineering and mathematics","L7_T_SC6","Master’s or equivalent level  long first degrees (ISCED2011 level 7)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,,"z","Not applicable"
"AUS","Australia","M","Men","F05T07","Science, technology, engineering and mathematics","L7_T_SC6","Master’s or equivalent level  long first degrees (ISCED2011 level 7)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,,"z","Not applicable"
"AUS","Australia","F","Women","F05T07","Science, technology, engineering and mathematics","L8","Doctoral or equivalent level  (ISCED2011 level 8)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,37.304,,
"AUS","Australia","M","Men","F05T07","Science, technology, engineering and mathematics","L8","Doctoral or equivalent level  (ISCED2011 level 8)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,62.696,,
"AUS","Australia","F","Women","F05T07","Science, technology, engineering and mathematics","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,,"M","Missing value; data cannot exist"
"AUS","Australia","M","Men","F05T07","Science, technology, engineering and mathematics","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,,"M","Missing value; data cannot exist"
"AUT","Austria","F","Women","T","Total: All fields of education","L5","Short-cycle tertiary education (ISCED2011 level 5)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,53.369,,
"AUT","Austria","M","Men","T","Total: All fields of education","L5","Short-cycle tertiary education (ISCED2011 level 5)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,46.631,,
"AUT","Austria","F","Women","T","Total: All fields of education","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,55.416,,
"AUT","Austria","M","Men","T","Total: All fields of education","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,44.584,,
"AUT","Austria","F","Women","T","Total: All fields of education","L7","Master’s or equivalent level (ISCED2011 level 7)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,53.567,,
"AUT","Austria","M","Men","T","Total: All fields of education","L7","Master’s or equivalent level (ISCED2011 level 7)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,46.433,,
"AUT","Austria","F","Women","T","Total: All fields of education","L7_T_SC6","Master’s or equivalent level  long first degrees (ISCED2011 level 7)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,59.667,,
"AUT","Austria","M","Men","T","Total: All fields of education","L7_T_SC6","Master’s or equivalent level  long first degrees (ISCED2011 level 7)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,40.333,,
"AUT","Austria","F","Women","T","Total: All fields of education","L8","Doctoral or equivalent level  (ISCED2011 level 8)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,47.332,,
"AUT","Austria","M","Men","T","Total: All fields of education","L8","Doctoral or equivalent level  (ISCED2011 level 8)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,52.668,,
"AUT","Austria","F","Women","T","Total: All fields of education","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,54.024,,
"AUT","Austria","M","Men","T","Total: All fields of education","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,45.976,,
"AUT","Austria","F","Women","F06","Information and Communication Technologies","L5","Short-cycle tertiary education (ISCED2011 level 5)","ENTR_SHARE_GENDER-FIELDS","Share of new entrants by gender in fields of education","2015","2015","PC","Percentage","0","Units",,,11.096,,
