unit,nace_r2,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 
PC,B,AT	12.7 	14.9 	14.4 	15.9 	: 	: 	: 	18.3 	: 	: 	: 
PC,B,BE	-1.6 	-1.4 	-1.2 	-1.0 	-4.1 	-7.1 	-10.4 	-13.4 	-10.1 	-8.8 	-7.2 
PC,B,BG	15.4 	15.6 	18.0 	16.8 	17.1 	21.2 	16.4 	15.9 	18.8 	23.7 	26.9 
PC,B,CH	7.9 	8.1 	8.3 	8.2 	9.0 	9.6 	10.4 	5.2 	7.7 d	7.8 d	: 
PC,B,CY	18.5 u	18.7 u	30.3 u	22.7 u	26.7 u	17.4 u	16.6 u	15.5 u	27.7 u	39.7 u	: 
PC,B,CZ	16.4 	14.5 	16.3 	16.9 	21.3 	21.2 	22.8 	22.6 	22.2 	24.8 	: 
PC,B,DE	3 p	0.1 p	0.2 p	0.4 	4.1 	7.0 	9.8 	12.3 	10.5 	6.8 	5.1 
PC,B,DK	20.7 	20.3 	17.1 	17.7 	14.3 	12.8 	14.3 	18.6 	16.1 	12.5 	: 
PC,B,EE	31.6 	37.3 	32.9 	24.7 	38.3 	37.0 	34.0 	36.0 	36.5 	37.2 	: 
PC,B,EL	: 	: 	: 	-2.1 	: 	: 	: 	34.0 	: 	: 	: 
PC,B,ES	-4.6 p	-4.6 	-12.6 	-9.8 	10.8 	15.0 	14.4 	12.2 	12.5 	13.0 	13.3 
PC,B,FI	10.8 p	10.2 	10.4 	5.2 	5.4 	10.6 	7.4 	16.3 	20.3 	15.6 	: 
PC,B,FR	13.4 p	13.5 p	14.0 	15.4 	15.2 	13.4 	12.9 	13.5 	9.6 	3.1 	: 
PC,B,HR	-9.3 	-2.9 	: 	-2.5 	0.9 	: 	: 	-4.1 	: 	: 	: 
PC,B,HU	-23.3 p	-22.3 	: 	-9.4 	-26.1 	-13.9 	-18.2 	-12.2 	2.3 	4.5 	: 
PC,B,IE	: 	: 	: 	: c	: c	: c	: c	: 	: 	: 	: 
PC,B,IT	: c	: c	: c	6.6 	: c	: c	: c	-15.2 	: 	: 	: 
PC,B,LT	5.8 	5.6 	5.2 	4.2 	6.0 	3.9 	2.5 	1.2 b	5.0 	14.3 	14.1 
PC,B,LU	14.7 	7.4 	9.7 	9.3 	: 	: 	: 	-4.2 u	: 	: 	: 
PC,B,LV	18.5 	20.5 	14.2 	21.5 	21.5 	17.8 	: u	12.5 	: 	: 	: 
PC,B,ME	: 	: 	: 	-3.4 	: 	: 	: 	: 	: 	: 	: 
PC,B,MK	: 	: 	: 	17.1 	: 	: 	: 	: 	: 	: 	: 
PC,B,MT	-67.3 u	-44.8 u	-30.6 u	-9.7 u	2.9 u	8.9 u	26.4 u	26.8 	24.3 	15.4 	: 
PC,B,NL	13.7 	17.5 	18.7 	18.6 	18.6 	25.2 	24.4 	27.5 	25.8 	30.0 	: 
PC,B,NO	8.0 	9.7 	12.5 	11.2 	8.5 	9.4 	10.2 	12.8 	11.5 	13.0 	: 
PC,B,PL	16.1 p	16.1 	18.8 	21.5 	21.7 	21.8 	20.9 	20.0 	22.7 	25.4 	28.1 
PC,B,PT	-11.8 	-18.1 	-18.6 	-26.6 	-21.8 	-18.7 	-15.3 	-12.3 	-8.9 	-6.4 	-4.6 
PC,B,RO	-14.1 e	-17.2 e	-12.9 e	-9.5 	-9.7 	-12.2 	-11.2 	-13.9 	4.1 d	-4.9 d	11 d
PC,B,RS	: 	: 	: 	6.5 	: 	: 	: 	: 	: 	: 	: 
PC,B,SE	4.1 	3.0 	3.8 	7.6 	6.4 	8.1 	5.3 	5.5 	8.7 	7.0 	: 
PC,B,SI	16.1 	15.8 	15.9 	13.0 	14.3 	17.0 	16.5 	16.5 	17.3 	17.6 	15.1 
PC,B,SK	20.2 	17.3 	14.0 	13.0 	10.0 	-8.2 	-10.3 	5.1 	2.9 	-2.2 	: 
PC,B,TR	: 	: 	: 	15.0 	: 	: 	: 	: 	: 	: 	: 
PC,B,UK	-4.9 p	0.2 	7.7 	7.5 	11.6 	-1.5 	-12.1 	5.5 b	3.4 	6.4 	-5.6 
PC,B-N,AT	21.7 	21.7 	23.3 	23.8 	23.8 	24.3 	24.7 	25.2 	25.5 	26.2 	26.7 
PC,B-N,BE	10.6 	10.7 	10.9 	11.0 	12.1 	13.0 	14.1 	15.1 	15.1 	15.2 	15.3 
PC,B-N,BG	13.8 	14.1 	15.1 	14.3 	14.8 	15.1 	13.7 	14.1 	14.5 	13.2 	12.6 
