Distribution of employees worldwide 2018 women;Year;Position;Value in %
facebook;2018;Tech;21,6
Twitter;2018;Tech;20,2
google;2018;Tech;21,4
facebook;2018;management;30
Twitter;2018;management;20,2
google;2018;management;25,5
paypal;2018;Tech;25
paypal;2018;management;36
ebay;2017;Tech;23
ebay;2017;management;33
microsoft;2018;Tech;19,9
microsoft;2018;management;19,7
sap;2018;management;25,7
sap;2018;Tech;NA
apple;2018;management;29
apple;2018;Tech;23
uber;2018;management;21
uber;2018;Tech;18
netflix;2018;management;47
netflix;2018;Tech;30
amazon;2018;management;26
amazon;2018;Tech;NA
tradebyte;2019;Tech;11,3
tradebyte;2019;management;30
