Land.de;Industry;Year;Percent;Quelle
USA;Information;2008;41.6;https://www.bls.gov/cps/aa2008/cpsaat18.pdf
USA;Information;2009;42.0;https://www.bls.gov/cps/aa2009/cpsaat18.pdf
USA;Information;2010;40.9;https://www.bls.gov/cps/aa2010/cpsaat18.pdf
USA;Information;2011;40.2;https://www.bls.gov/cps/aa2011/cpsaat18.pdf
USA;Information;2012;38.2;https://www.bls.gov/cps/aa2012/cpsaat18.pdf
USA;Information;2013;39.2;https://www.bls.gov/cps/aa2013/cpsaat18.pdf
USA;Information;2014;38.8;https://www.bls.gov/cps/aa2014/cpsaat18.pdf
USA;Information;2015;39.1;https://www.bls.gov/cps/aa2015/cpsaat18.pdf
USA;Information;2016;40.6;https://www.bls.gov/cps/aa2016/cpsaat18.pdf
USA;Information;2017;39.0;https://www.bls.gov/cps/aa2017/cpsaat18.pdf
USA;Information;2018;38.3;https://www.bls.gov/cps/cpsaat18.pdf
