Gender wage gap by industry in the United States in 2017, by median weekly earnings (in U.S. dollars);;;
;;;
Industrie;Mens earnings;Womens earnings;Gender pay gap
agriculture and related industries;640;515;19,53
construction;841;873;-3,8
education and health services;1080;832;22,96
financial activities;1236;886;28,32
information;1302;950;27,04
leisure and hospitality;596;510;14,43
manufacturing;954;729;23,58
mining, quarrying, and oil and gas extraction;1272;1124;11,64
other services;782;613;21,61
professional and business services;1186;883;25,55
public administration;1160;924;20,34
retail trade;731;591;19,15
transportation and utilities;957;733;23,41
wholesale trade;956;790;17,36
total;941;770;18,17
