sex,category,nace_r2,age,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
F,HRST,C,Y15-74,PC_EMP,AT	7.2 	6.9 	7.4 	7.6 	7.3 b	7.0 	6.0 	5.6 b	6.1 	5.8 	6.6 b
F,HRST,C,Y15-74,PC_EMP,BE	6.1 	5.7 b	5.5 	5.7 	5.5 b	5.8 	5.8 	6.7 b	7.1 	6.3 	7.2 b
F,HRST,C,Y15-74,PC_EMP,BG	8.5 	8.1 	8.4 	9.0 	9.4 b	9.5 	9.7 	9.3 b	8.8 b	9.4 	10.0 b
F,HRST,C,Y15-74,PC_EMP,CH	5.9 	6.3 	5.8 	6.0 	6.6 b	6.4 	6.0 	5.9 b	5.8 b	5.8 	5.9 b
F,HRST,C,Y15-74,PC_EMP,CY	3.0 	3.2 	2.5 	1.9 	2.7 b	2.7 	3.7 	3.4 b	3.6 	3.2 b	3.5 b
F,HRST,C,Y15-74,PC_EMP,CZ	10.7 	11.1 	11.4 	10.6 	11.0 b	10.3 	10.9 	10.8 b	10.8 b	11.2 	12.5 b
F,HRST,C,Y15-74,PC_EMP,DE	7.0 	6.9 	6.8 	6.9 	6.8 b	6.7 	6.8 b	6.9 b	7.2 b	7.5 	7.6 b
F,HRST,C,Y15-74,PC_EMP,DK	6.0 	6.4 b	6.8 b	6.7 	6.4 b	6.5 	6.4 	6.6 b	6.6 	6.5 	7.7 b
F,HRST,C,Y15-74,PC_EMP,EA19	6.6 	6.5 	6.6 	6.6 	6.5 b	6.5 	6.7 	6.8 b	6.7 	6.9 	7.3 b
F,HRST,C,Y15-74,PC_EMP,EE	9.3 	9.8 	9.2 	9.5 	9.8 b	8.7 	8.8 	9.3 b	10.3 	9.8 	11.7 b
F,HRST,C,Y15-74,PC_EMP,EL	4.0 	4.5 	5.0 	4.4 	3.7 b	3.7 	3.7 	4.1 b	3.9 	4.4 b	5.3 b
F,HRST,C,Y15-74,PC_EMP,ES	6.9 	6.6 	6.2 	6.4 	6.1 b	6.1 	6.6 	6.4 b	6.7 	6.8 	7.6 b
F,HRST,C,Y15-74,PC_EMP,EU15	6.1 	6.0 	6.1 	6.1 	6.0 b	6.0 	6.1 	6.1 b	6.0 	6.2 	6.7 b
F,HRST,C,Y15-74,PC_EMP,EU28	6.6 	6.5 	6.6 	6.5 	6.5 b	6.4 	6.6 	6.6 b	6.5 	6.8 	7.3 b
F,HRST,C,Y15-74,PC_EMP,FI	6.1 	6.4 	6.5 	6.2 	6.3 b	6.8 	6.9 	6.6 b	7.4 	7.7 	7.7 b
F,HRST,C,Y15-74,PC_EMP,FR	6.2 	6.2 	6.2 	6.3 	6.5 b	6.8 b	7.1 	7.1 b	6.9 	6.7 	7.1 b
F,HRST,C,Y15-74,PC_EMP,HR	7.2 	5.9 	5.9 	7.7 	7.8 b	7.0 	7.9 	7.3 b	5.9 b	8.0 	8.3 b
F,HRST,C,Y15-74,PC_EMP,HU	7.6 	8.1 	7.5 	7.8 	7.0 b	7.1 	7.4 	6.8 b	7.3 	8.4 	8.3 b
F,HRST,C,Y15-74,PC_EMP,IE	7.1 	7.6 b	8.1 	7.3 	6.9 b	6.8 	6.8 	6.8 b	6.4 	6.6 	6.8 b
F,HRST,C,Y15-74,PC_EMP,IS	3.5 	3.3 	4.1 	3.6 	4.0 b	4.2 	3.6 	3.7 b	3.1 	3.0 	3.4 b
F,HRST,C,Y15-74,PC_EMP,IT	8.3 	8.0 	8.5 	8.6 	8.3 b	8.2 	8.0 	8.2 b	7.2 	7.7 	8.4 b
F,HRST,C,Y15-74,PC_EMP,LT	8.1 	6.6 	7.3 	8.1 	7.3 b	7.6 	7.1 	7.4 b	7.0 	7.5 	8.5 b
F,HRST,C,Y15-74,PC_EMP,LU	1.5 	1.6 	2.2 	2.0 b	1.7 b	1.4 u	1.7 	1.3 bu	1.8 u	1.9 b	2.1 bu
F,HRST,C,Y15-74,PC_EMP,LV	5.2 	5.3 	6.2 	6.0 	6.4 b	6.3 	6.2 	5.5 b	5.5 	6.6 	8.1 b
F,HRST,C,Y15-74,PC_EMP,ME	: u	: u	: u	: u	: bu	: u	: u	3.4 bu	: 	: 	: 
F,HRST,C,Y15-74,PC_EMP,MK	10.7 	9.4 	9.2 	8.5 	8.2 b	8.7 	7.8 	7.9 b	: 	: 	: 
F,HRST,C,Y15-74,PC_EMP,MT	3.1 	5.1 	3.1 	3.4 	3.8 b	5.0 	5.1 	4.8 b	5.1 	4.5 	2.8 bu
F,HRST,C,Y15-74,PC_EMP,NL	3.2 	3.0 	3.1 	3.2 	3.0 b	2.8 b	3.3 	3.3 b	3.0 	3.4 	3.4 b
F,HRST,C,Y15-74,PC_EMP,NO	3.1 	3.1 	2.9 	3.2 	3.0 b	3.2 	3.4 	3.7 b	3.1 	2.8 	3.0 b
F,HRST,C,Y15-74,PC_EMP,PL	9.9 	9.4 	9.1 	8.6 	8.1 b	7.7 	7.7 	8.1 b	7.9 b	8.3 	8.7 b
F,HRST,C,Y15-74,PC_EMP,PT	6.7 	7.1 	7.3 	6.6 	6.6 b	6.1 	6.5 	6.4 b	5.0 	5.1 	5.2 b
F,HRST,C,Y15-74,PC_EMP,RO	9.0 	9.1 	9.0 	8.9 	9.2 b	10.2 	10.7 	9.9 b	10.0 b	11.6 	13.1 b
F,HRST,C,Y15-74,PC_EMP,RS	9.9 	9.2 	8.0 	8.3 	8.7 b	10.0 	8.8 	7.6 b	9.6 	: 	: 
F,HRST,C,Y15-74,PC_EMP,SE	4.2 	4.3 	4.3 	4.1 	4.3 b	4.5 	4.5 	4.3 b	4.1 	4.4 	4.8 b
F,HRST,C,Y15-74,PC_EMP,SI	11.1 	10.6 	11.4 	10.1 	9.7 b	9.1 	8.6 	10.0 b	11.4 	12.3 	12.0 b
F,HRST,C,Y15-74,PC_EMP,SK	7.5 	7.7 	8.6 	8.4 	7.4 b	7.1 	9.0 	9.9 b	9.5 	10.4 b	10.7 b
F,HRST,C,Y15-74,PC_EMP,TR	8.1 	7.3 	7.5 	8.9 	9.2 b	7.9 	8.5 b	9.8 	11.0 	10.8 	: 
F,HRST,C,Y15-74,PC_EMP,UK	4.4 	4.5 	4.5 	4.5 	4.7 b	4.3 	4.5 	4.1 b	3.8 b	3.8 	4.9 b
F,HRST,C,Y15-74,THS,AT	73.5 	70.5 	73.0 	72.3 	67.7 b	56.0 	45.2 	39.9 b	41.7 	38.7 	42.0 b
F,HRST,C,Y15-74,THS,BE	81.0 	72.8 b	66.6 	67.7 	65.7 b	65.3 	65.9 	73.3 b	78.3 	66.7 	73.3 b
F,HRST,C,Y15-74,THS,BG	56.2 	53.4 	55.1 	59.2 	59.5 b	56.7 	55.8 	53.7 b	51.8 b	55.7 	59.1 b
F,HRST,C,Y15-74,THS,CH	73.5 	74.8 	67.4 	68.1 	72.4 b	66.6 	59.9 	56.0 b	53.8 b	55.4 	55.5 b
F,HRST,C,Y15-74,THS,CY	3.3 	3.2 	2.4 	1.8 	2.6 b	2.5 	3.5 	3.3 b	3.1 	2.7 b	2.9 b
F,HRST,C,Y15-74,THS,CZ	107.1 	109.4 	108.2 	98.2 	100.8 b	91.5 	94.0 	90.0 b	101.1 b	108.8 	118.2 b
F,HRST,C,Y15-74,THS,DE	710.5 	684.9 	663.8 	647.5 	621.6 b	603.4 	601.0 b	573.6 b	609.6 b	624.4 	609.7 b
F,HRST,C,Y15-74,THS,DK	44.9 	47.1 b	48.5 b	45.9 	43.6 b	44.3 	43.0 	42.7 b	41.9 	41.7 	48.6 b
F,HRST,C,Y15-74,THS,EA19	2377.8 	2273.0 	2228.6 	2177.2 	2080.2 b	2017.6 	2039.6 	2007.1 b	1976.9 	2004.3 	2092.3 b
F,HRST,C,Y15-74,THS,EE	18.3 	18.8 	17.2 	17.7 	17.5 b	15.6 	15.8 	16.0 b	17.7 	17.4 	20.4 b
F,HRST,C,Y15-74,THS,EL	29.8 	33.4 	35.7 	29.5 	24.1 b	23.8 	24.3 	27.2 b	26.4 	30.1 b	36.1 b
F,HRST,C,Y15-74,THS,ES	314.6 	290.2 	267.7 	265.8 	241.8 b	236.5 	254.2 	249.1 b	261.8 	261.8 	290.4 b
F,HRST,C,Y15-74,THS,EU15	2743.1 	2641.1 	2585.3 	2515.6 	2435.4 b	2336.2 	2349.3 	2271.8 b	2174.4 	2187.4 	2329.9 b
F,HRST,C,Y15-74,THS,EU28	3649.3 	3507.6 	3426.8 	3322.6 	3194.5 b	3054.1 	3075.2 	2985.7 b	2886.5 	2976.1 	3151.6 b
F,HRST,C,Y15-74,THS,FI	45.6 	45.7 	45.1 	43.2 	43.4 b	46.2 	45.9 	43.1 b	47.7 	50.0 	49.6 b
F,HRST,C,Y15-74,THS,FR	450.2 	434.2 	425.7 	427.1 	429.6 b	426.2 b	435.2 	424.9 b	392.8 	378.6 	390.2 b
F,HRST,C,Y15-74,THS,HR	24.7 	19.3 	18.9 	24.7 	23.9 b	19.9 	20.2 	17.8 b	15.8 b	21.4 	20.6 b
F,HRST,C,Y15-74,THS,HU	69.1 	72.1 	66.9 	68.1 	60.3 b	58.4 	59.7 	52.4 b	55.0 	63.7 	62.5 b
F,HRST,C,Y15-74,THS,IE	44.6 	46.3 b	47.3 	41.3 	37.0 b	36.0 	35.1 	33.9 b	30.7 	31.3 	32.4 b
F,HRST,C,Y15-74,THS,IS	2.0 	1.8 	2.2 	1.8 	1.9 b	1.9 	1.6 	1.7 b	1.3 	1.3 	1.4 b
F,HRST,C,Y15-74,THS,IT	354.6 	335.3 	339.7 	333.2 	319.0 b	311.0 	304.5 	310.0 b	269.7 	290.9 	326.6 b
F,HRST,C,Y15-74,THS,LT	33.5 	27.3 	30.5 	32.7 	28.1 b	28.4 	26.4 	26.8 b	25.7 	27.5 	31.4 b
F,HRST,C,Y15-74,THS,LU	1.2 	1.2 	1.6 	1.4 b	1.2 b	0.9 u	1.1 	0.8 bu	1.0 u	1.0 b	0.8 bu
F,HRST,C,Y15-74,THS,LV	13.3 	13.3 	15.6 	14.9 	15.0 b	14.9 	14.6 	12.5 b	12.1 	16.0 	21.9 b
F,HRST,C,Y15-74,THS,ME	: u	: u	: u	: u	: bu	: u	: u	1.4 bu	: 	: 	: 
F,HRST,C,Y15-74,THS,MK	13.5 	11.4 	11.0 	9.4 	8.1 b	8.4 	7.7 	7.4 b	: 	: 	: 
F,HRST,C,Y15-74,THS,MT	1.4 	2.1 	1.2 	1.3 	1.2 b	1.6 	1.4 	1.2 b	1.2 	1.0 	0.6 bu
F,HRST,C,Y15-74,THS,NL	71.5 	63.4 	63.8 	63.3 	58.4 b	54.8 b	61.3 	60.5 b	57.0 	62.4 	61.0 b
F,HRST,C,Y15-74,THS,NO	23.8 	23.6 	21.9 	23.9 	21.8 b	21.9 	22.4 	23.7 b	18.6 	16.8 	17.6 b
F,HRST,C,Y15-74,THS,PL	402.2 	370.9 	351.5 	323.8 	295.2 b	266.7 	257.6 	263.5 b	252.5 b	267.8 	262.9 b
F,HRST,C,Y15-74,THS,PT	65.9 	67.0 	65.1 	56.9 	53.4 b	44.6 	45.4 	42.9 b	30.9 	30.8 	30.3 b
F,HRST,C,Y15-74,THS,RO	112.1 	113.3 	107.3 	105.0 	102.4 b	111.8 	118.2 	108.7 b	106.5 b	133.9 	148.4 b
F,HRST,C,Y15-74,THS,RS	51.0 	46.2 	38.6 	38.7 	39.4 b	37.8 	22.7 	19.2 b	39.8 	: 	: 
F,HRST,C,Y15-74,THS,SE	65.0 	62.5 	61.7 	57.0 	56.2 b	57.0 	55.0 	51.3 b	45.6 	48.6 	51.8 b
F,HRST,C,Y15-74,THS,SI	27.2 	26.1 	26.7 	22.6 	20.7 b	19.6 	18.6 	21.8 b	23.9 	25.6 	24.5 b
F,HRST,C,Y15-74,THS,SK	37.7 	37.3 	40.0 	37.2 	32.0 b	30.3 	40.0 	46.2 b	45.7 	47.3 b	48.3 b
F,HRST,C,Y15-74,THS,TR	231.9 	196.4 	189.9 	204.8 	190.3 b	154.2 	156.9 b	160.4 	164.0 	154.4 	: 
F,HRST,C,Y15-74,THS,UK	390.1 	386.6 	380.2 	363.5 	372.4 b	330.2 	332.1 	298.5 b	239.2 b	230.4 	287.2 b
F,HRST,C,Y25-64,PC_EMP,AT	6.9 	6.8 	7.4 	7.7 	7.1 b	6.6 	5.8 	5.3 b	5.9 	5.3 	6.4 b
F,HRST,C,Y25-64,PC_EMP,BE	6.1 	5.8 b	5.5 	5.8 	5.6 b	5.8 	5.8 	6.9 b	7.2 	6.4 	7.1 b
F,HRST,C,Y25-64,PC_EMP,BG	8.6 	8.2 	8.6 	9.1 	9.5 b	9.4 	9.9 	9.4 b	8.9 b	9.5 	10.2 b
F,HRST,C,Y25-64,PC_EMP,CH	6.1 	6.3 	5.7 	6.0 	6.6 b	6.4 	6.0 	5.9 b	5.9 b	5.8 	5.9 b
F,HRST,C,Y25-64,PC_EMP,CY	3.1 	3.4 	2.4 	1.6 u	2.7 b	2.8 	3.6 	3.3 b	3.2 	3.0 b	3.5 b
F,HRST,C,Y25-64,PC_EMP,CZ	10.8 	11.3 	11.5 	10.6 	11.0 b	10.5 	11.0 	10.9 b	11.0 b	11.4 	12.4 b
F,HRST,C,Y25-64,PC_EMP,DE	7.2 	7.1 	7.0 	7.0 	6.9 b	6.9 	7.0 b	7.1 b	7.5 b	7.7 	7.8 b
F,HRST,C,Y25-64,PC_EMP,DK	6.2 	6.5 b	6.9 b	6.8 	6.7 b	6.7 	6.6 	6.8 b	6.8 	6.7 	7.9 b
F,HRST,C,Y25-64,PC_EMP,EA19	6.7 	6.6 	6.7 	6.7 	6.6 b	6.6 	6.8 	6.8 b	6.8 	6.9 	7.3 b
F,HRST,C,Y25-64,PC_EMP,EE	9.4 	9.9 	9.5 	10.1 	10.3 b	9.2 	9.6 	9.9 b	10.9 	10.1 	12.5 b
F,HRST,C,Y25-64,PC_EMP,EL	3.9 	4.6 	5.0 	4.4 	3.7 b	3.7 	3.8 	4.1 b	3.9 	4.4 b	5.3 b
F,HRST,C,Y25-64,PC_EMP,ES	6.9 	6.6 	6.3 	6.5 	6.2 b	6.2 	6.8 	6.5 b	6.8 	6.9 	7.6 b
F,HRST,C,Y25-64,PC_EMP,EU15	6.2 	6.1 	6.1 	6.2 	6.1 b	6.0 	6.2 	6.2 b	6.1 	6.3 	6.8 b
F,HRST,C,Y25-64,PC_EMP,EU28	6.7 	6.6 	6.6 	6.6 	6.6 b	6.5 	6.7 	6.7 b	6.6 	6.8 	7.4 b
F,HRST,C,Y25-64,PC_EMP,FI	6.1 	6.4 	6.7 	6.5 	6.5 b	7.0 	7.0 	6.7 b	7.6 	7.9 	7.8 b
F,HRST,C,Y25-64,PC_EMP,FR	6.2 	6.3 	6.2 	6.3 	6.5 b	6.7 b	7.0 	7.1 b	6.9 	6.7 	7.2 b
F,HRST,C,Y25-64,PC_EMP,HR	7.1 	5.7 	6.0 	8.0 	7.8 b	7.0 	7.8 	7.2 b	6.0 b	7.9 	8.3 b
F,HRST,C,Y25-64,PC_EMP,HU	7.4 	8.0 	7.3 	7.7 	6.9 b	7.1 	7.4 	6.9 b	7.3 	8.4 	8.2 b
F,HRST,C,Y25-64,PC_EMP,IE	7.2 	7.8 b	8.1 	7.4 	7.1 b	7.1 	6.9 	7.0 b	6.8 	7.0 	7.0 b
F,HRST,C,Y25-64,PC_EMP,IS	3.6 	3.5 	4.3 	3.6 	4.2 b	4.1 	3.7 	3.9 b	3.1 	3.1 	3.3 b
F,HRST,C,Y25-64,PC_EMP,IT	8.3 	8.0 	8.5 	8.5 	8.3 b	8.2 	8.0 	8.2 b	7.2 	7.6 	8.2 b
F,HRST,C,Y25-64,PC_EMP,LT	8.4 	6.6 	7.2 	8.3 	7.5 b	7.8 	7.4 	7.5 b	7.1 	7.7 	8.6 b
F,HRST,C,Y25-64,PC_EMP,LU	1.4 	1.6 	2.2 	2.1 b	1.6 b	1.1 u	1.6 u	1.3 bu	1.9 u	2.0 bu	2.2 bu
F,HRST,C,Y25-64,PC_EMP,LV	5.5 	5.4 	6.3 	6.2 	6.4 b	6.7 	6.4 	5.4 b	5.6 	6.9 	8.3 b
F,HRST,C,Y25-64,PC_EMP,ME	: u	: u	: u	: u	: bu	: u	: u	3.5 bu	: 	: 	: 
F,HRST,C,Y25-64,PC_EMP,MK	10.8 	9.6 	9.2 	8.5 	8.2 b	8.5 	8.1 	8.0 b	: 	: 	: 
F,HRST,C,Y25-64,PC_EMP,MT	2.7 	4.8 	3.0 	3.7 	3.9 b	5.3 	4.6 	4.2 b	4.7 	4.2 	2.4 bu
F,HRST,C,Y25-64,PC_EMP,NL	3.3 	3.0 	3.2 	3.2 	3.0 b	2.9 b	3.4 	3.4 b	3.2 	3.6 	3.5 b
F,HRST,C,Y25-64,PC_EMP,NO	3.2 	3.2 	3.1 	3.4 	3.2 b	3.3 	3.5 	3.8 b	3.2 	2.8 	3.0 b
F,HRST,C,Y25-64,PC_EMP,PL	9.8 	9.3 	9.0 	8.6 	8.1 b	7.7 	7.7 	8.1 b	7.9 b	8.1 	8.4 b
F,HRST,C,Y25-64,PC_EMP,PT	6.6 	7.1 	7.2 	6.6 	6.5 b	6.1 	6.5 	6.3 b	5.0 	5.1 	5.1 b
F,HRST,C,Y25-64,PC_EMP,RO	9.1 	9.1 	9.0 	8.9 	9.1 b	10.3 	10.8 	10.0 b	10.1 b	11.8 	13.2 b
F,HRST,C,Y25-64,PC_EMP,RS	9.9 	9.2 	8.0 	8.3 	8.7 b	10.1 	8.9 	7.5 b	9.7 	: 	: 
F,HRST,C,Y25-64,PC_EMP,SE	4.4 	4.4 	4.4 	4.2 	4.4 b	4.7 	4.7 	4.5 b	4.2 	4.6 	4.9 b
F,HRST,C,Y25-64,PC_EMP,SI	11.2 	10.7 	11.6 	10.3 	9.8 b	9.1 	8.7 	10.1 b	11.5 	12.5 	12.1 b
F,HRST,C,Y25-64,PC_EMP,SK	7.7 	7.8 	8.5 	8.4 	7.5 b	7.0 	8.8 	9.9 b	9.6 	10.3 b	10.7 b
F,HRST,C,Y25-64,PC_EMP,TR	7.9 	7.2 	7.3 	8.7 	9.0 b	7.6 	8.2 b	9.4 	10.2 	9.9 	: 
F,HRST,C,Y25-64,PC_EMP,UK	4.5 	4.6 	4.6 	4.6 	4.8 b	4.3 	4.5 	4.2 b	3.8 b	3.9 	4.9 b
F,HRST,C,Y25-64,THS,AT	63.5 	61.9 	65.4 	64.9 	59.1 b	47.6 	39.4 	33.8 b	36.4 	32.2 	36.5 b
