code|description_en|description_de
A|AGRICULTURE, FORESTRY AND FISHING|LAND- UND FORSTWIRTSCHAFT, FISCHEREI 
B|MINING AND QUARRYING|BERGBAU UND GEWINNUNG VON STEINEN UND ERDEN
C|MANUFACTURING|VERARBEITENDES GEWERBE/HERSTELLUNG VON WAREN 
D|ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY|ENERGIEVERSORGUNG
E|WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES|WASSERVERSORGUNG; ABWASSER- UND ABFALLENTSORGUNG UND BESEITIGUNG VON UMWELTVERSCHMUTZUNGEN
F|CONSTRUCTION|BAUGEWERBE/BAU
G|WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES|HANDEL; INSTANDHALTUNG UND REPARATUR VON KRAFTFAHRZEUGEN
H|TRANSPORTATION AND STORAGE|VERKEHR UND LAGEREI
I|ACCOMMODATION AND FOOD SERVICE ACTIVITIES|GASTGEWERBE/BEHERBERGUNG UND GASTRONOMIE
J|INFORMATION AND COMMUNICATION|INFORMATION UND KOMMUNIKATION
K|FINANCIAL AND INSURANCE ACTIVITIES|ERBRINGUNG VON FINANZ- UND VERSICHERUNGSDIENSTLEISTUNGEN   
L|REAL ESTATE ACTIVITIES|GRUNDSTÜCKS- UND WOHNUNGSWESEN
M|PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES|ERBRINGUNG VON FREIBERUFLICHEN, WISSENSCHAFTLICHEN UND TECHNISCHEN DIENSTLEISTUNGEN
N|ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES|ERBRINGUNG VON SONSTIGEN WIRTSCHAFTLICHEN DIENSTLEISTUNGEN
O|PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY|ÖFFENTLICHE VERWALTUNG, VERTEIDIGUNG; SOZIALVERSICHERUNG
P|EDUCATION|ERZIEHUNG UND UNTERRICHT
Q|HUMAN HEALTH AND SOCIAL WORK ACTIVITIES|GESUNDHEITS- UND SOZIALWESEN
R|ARTS, ENTERTAINMENT AND RECREATION|KUNST, UNTERHALTUNG UND ERHOLUNG
S|OTHER SERVICE ACTIVITIES|ERBRINGUNG VON SONSTIGEN DIENSTLEISTUNGEN
T|ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS- UNDIFFERENTIATED GOODS- AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE|PRIVATE HAUSHALTE MIT HAUSPERSONAL; HERSTELLUNG VON WAREN UND ERBRINGUNG VON DIENSTLEISTUNGEN DURCH PRIVATE HAUSHALTE FÜR DEN EIGENBEDARF OHNE AUSGEPRÄGTEN SCHWERPUNKT
U|ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES|EXTERRITORIALE ORGANISATIONEN UND KÖRPERSCHAFTEN
