Rank;Country;Total Workforce (Millions);Female Workforce (Millions);% Women;% Women Legislators, Senior Officials, and Managers;% Women in Parliament;% Women in Ministerial Positions;Overall Workforce Average Wage;Women's Average Wage;Gender Pay Gap (%);Tech Workforce (Thousands);% Workforce in Tech;Female Tech Workforce (Thousands);% Women in Tech;% Difference of Women in Workforce and Women in Tech;Female STEM Graduates (%);Tech Average Wage (€);Tech Average Wage for Women (€);Gender Pay Gap in Tech (%);% Difference of Overall Gender Pay Gap and Gender Pay Gap in Tech;Gender Inequality Index (Score, 0 = equality);Gender Pay Gap 2010;Comparison of Gender Pay Gap From 2010 To 2015
1;Portugal;5,18;2,53;48,78;32,4;34,6;28,6;19.868;16.221;18,36;108,8;2,1;17,5;16,08;-32,69;30,56;31.491;27.996;11,1;7,26;0,091;13,13;5,23
2;United States;159,19;74,43;46,76;43,5;19,4;25,9;48.725;39.524;18,88;6049,11;3,8;1488,64;24,61;-22,15;24,24;79.595;70.153;11,86;7,02;0,203;18,81;0,07
3;Latvia;0,99;0,5;50,25;44,4;18;23,1;18.135;15.052;17;19,7;1,99;4,9;24,87;-25,38;16,67;32.792;29.218;10,9;6,1;0,191;17,28;-0,28
4;Finland;2,68;1,29;48,14;33,8;41,5;62,5;34.123;28.091;17,68;162,3;6,04;35,6;21,93;-26,2;20;43.985;38.047;13,5;4,18;0,056;19,59;-1,91
5;France;29,56;14,22;48,13;31,5;25,9;50;34.824;29.321;15,8;1003,8;3,4;181,6;18,09;-30,03;25,37;47.996;42.333;11,8;4;0,102;12,36;3,44
6;Sweden;5,28;2,51;47,62;39,4;43,5;52,2;34.681;29.826;14;310,8;5,89;64,7;20,82;-26,8;22,48;45.082;40.303;10,6;3,4;0,048;14,86;-0,86
7;United Kingdom;33,23;15,51;46,69;35,5;29,6;22,5;34.696;28.121;18,95;1608,2;4,84;260,6;16,2;-30,48;31,03;47.900;39.853;16,8;2,15;0,131;19,37;-0,41
8;Estonia;0,69;0,34;48,54;30,6;23,7;46,2;19.133;13.986;26,9;34,1;4,93;6,4;18,77;-29,77;21,26;29.371;21.881;25,5;1,4;0,131;27,75;-0,85
9;Spain;22,82;10,61;46,48;31,5;40,1;30,6;30.240;25.734;14,9;557,6;2,44;85,8;15,39;-31,1;25,93;39.328;33.940;13,7;1,2;0,081;14,85;0,05
10;Cyprus;0,4;0,19;48,61;22,5;19,4;9,1;28.735;24.712;14;7,9;1,99;1,6;20,25;-28,36;28,57;32.760;28.337;13,5;0,5;0,116;16,8;-2,8
11;Iceland;0,2;0,09;46,87;38,3;41,2;44,4;45.347;39.127;13,72;7,7;3,92;1,7;22,08;-24,79;27,54;45.347;38.772;14,5;-0,78;0,051;16,01;-2,29
12;Turkey;30,52;9,63;31,55;13;15,3;3,8;18.626;17.344;6,88;245,2;0,8;24,3;9,91;-21,64;37,11;40.772;37.340;8,42;-1,54;0,328;3,1;3,78
13;New Zealand;2,6;1,23;47,39;40,1;31,5;33,3;31.912;29.384;7,92;96,13;3,7;17,24;17,93;-29,46;27,01;40.625;36.629;9,84;-1,92;0,158;7,01;0,91
14;Netherlands;8,97;4,16;46,42;25,9;37,5;46,8;42.795;35.905;16,1;422,2;4,71;65,7;15,56;-30,85;18,7;56.627;46.208;18,4;-2,3;0,044;17,84;-1,74
15;Canada;19,44;9,2;47,32;35,5;25,9;30,6;39.206;31.903;18,63;900,3;4,63;224;24,88;-22,44;24,81;54.498;43.034;21,04;-2,41;0,098;18,98;-0,35
16;Croatia;1,76;0,81;46,04;23,1;15,3;20;19.316;17.308;10,4;52,3;2,98;6,9;13,19;-32,84;26,47;27.838;24.219;13;-2,6;0,141;5,7;4,7
17;Ireland;2,19;0,99;45,09;34,2;22,5;28,6;41.862;35.928;14,17;78,1;3,56;14,8;18,95;-26,14;24,81;59.313;49.052;17,3;-3,13;0,127;13,37;0,8
